,NaiveBayesScorer_LeaveUnscored
3800760322.0,1.0
353755139.0,3.41101194573e-71
2729656324.0,3.18084354366e-43
2830325078.0,0.999699200515
1318838287.0,3.58008716625e-08
946176016.0,1.47970803996e-287
453500945.0,5.23957026333e-55
3191791619.0,8.58169988101e-94
839647252.0,7.72828222769e-46
2511904795.0,1.59612295285e-36
3333611548.0,2.62787651606e-188
3737272353.0,1.17985272086e-294
185188386.0,1.13772387674e-40
573325347.0,2.82795608384e-147
2124324901.0,9.48226428188e-112
197165095.0,1.0
1188814891.0,0.0
982360109.0,1.98707640497e-112
1910931504.0,9.60912885513e-34
966934580.0,3.36849158926e-54
1563967552.0,1.18537958463e-67
3562463301.0,0.00251248746811
3795304520.0,1.77106961827e-258
421388363.0,3.50706492979e-267
1053548620.0,2.39922368194e-58
596918352.0,3.42466968318e-79
3317047384.0,4.81498694249e-144
2813616217.0,5.07909925465e-76
892067936.0,4.4537898776e-54
1650581602.0,6.49106997034e-51
595230820.0,1.75751582452e-22
271982693.0,4.47702542538e-196
2847694951.0,1.0
1811882090.0,7.6593361064e-39
377551549.0,1.0
4113883249.0,2.13847623401e-19
4256784501.0,1.05346329642e-56
2713296789.0,2.55203927776e-207
1919869055.0,2.63359385755e-14
3376365700.0,1.94450637028e-39
456062317.0,1.90769388362e-176
1438113939.0,1.73429504937e-127
3993051292.0,1.0
2703515805.0,7.72062069399e-37
1398325407.0,1.55025930416e-49
2587648164.0,1.3761788422e-193
273670311.0,1.06812198294e-179
1003888808.0,1.37164884224e-11
1604305068.0,1.54526722792e-228
686342322.0,2.78486014875e-72
779665589.0,1.73072385872e-46
3893919927.0,9.76808094475e-56
3389104312.0,1.98221548157e-91
1134182585.0,2.81247406854e-72
627261626.0,1.41467348099e-30
1191354555.0,1.0
3524886718.0,0.0
1729274049.0,1.0
2221392069.0,3.7703645923e-30
2389745864.0,7.18480286483e-258
3485769930.0,2.1573646945e-106
2741403852.0,7.80225184662e-15
2746769613.0,3.97733094342e-39
1934541010.0,1.0
3035087059.0,8.71419831202e-83
377725140.0,1.93585362619e-186
207126743.0,7.44175770501e-143
2444411098.0,1.1156150519e-44
2321039579.0,1.13403486378e-25
1908408542.0,5.50045846993e-59
4243587295.0,1.01555807573e-62
3824074979.0,1.92934879959e-38
1135370468.0,4.44584825683e-89
3872112877.0,1.5347153292e-170
945307889.0,1.0
3187415764.0,9.40729358406e-60
2530836730.0,1.11103663284e-41
2476228860.0,1.50326148405e-244
326115587.0,5.61984964714e-166
833462533.0,1.87224843217e-38
1727209735.0,1.72472234867e-101
1162879243.0,2.32622545462e-08
2047435022.0,4.33355611301e-63
2641698861.0,0.000161741026166
294084880.0,1.24523719632e-28
3877413140.0,7.04302515885e-58
2554929200.0,1.13558719039e-204
2803204391.0,5.003583166e-31
2214011194.0,0.0
894198086.0,1.17609167605e-62
705610059.0,1.67713562974e-179
1743118669.0,6.03457644092e-26
1125007695.0,6.13084750265e-86
3385723619.0,1.0
2252398935.0,0.134499750561
3459391835.0,0.0
304669029.0,7.85072248501e-65
390603110.0,1.09794502949e-212
3155247463.0,0.0
3379814765.0,0.0
2654183790.0,4.85248178232e-61
4060651888.0,2.06705878526e-39
788922738.0,4.95362551588e-19
2233672054.0,5.05859943179e-260
537633146.0,1.2406819801e-52
2078874347.0,4.06773725247e-153
3638092168.0,5.68348348556e-10
58196362.0,7.00944774925e-84
1150966509.0,4.67564253051e-11
3796042128.0,0.0
3072508306.0,1.09810664021e-147
3878986134.0,5.68348348556e-10
884695447.0,5.1756959627e-296
2726986138.0,1.07808317089e-191
1247887771.0,4.23252927588e-52
1732641187.0,1.0
1760543142.0,4.07324508916e-44
2428084650.0,1.21510035652e-37
391848367.0,1.0
2284863940.0,3.37060248254e-53
2877448651.0,1.0
2648768974.0,1.0
3103965649.0,1.72339069608e-11
2899255767.0,2.98310857744e-166
2753938852.0,2.67361326811e-147
1373077981.0,1.2509032306e-176
3291931107.0,3.79093108385e-144
2976760295.0,1.65887328984e-129
3937534441.0,7.86482211422e-07
2566373869.0,0.0
153805298.0,1.14435115164e-96
3259998708.0,2.03028126018e-12
2570693374.0,4.29079080266e-28
2638545403.0,1.0
3669713407.0,3.06320700422e-322
3405480451.0,2.77146921054e-54
1470259719.0,1.41551510312e-169
740557322.0,4.73660470156e-96
1571799565.0,1.94406966065e-57
3891479981.0,7.53669716052e-17
986341913.0,5.45432003686e-195
705159706.0,9.04088814823e-133
1081721374.0,0.0
1863241819.0,9.02635285199e-199
2597126692.0,0.0
221667877.0,3.44476109322e-153
1914327446.0,7.74349791488e-67
223183399.0,1.0
3211469352.0,2.80459492015e-37
241197609.0,2.03428708192e-20
1984922154.0,1.34561736687e-76
2576130613.0,2.6057451231e-66
3395469881.0,1.9748842626e-20
3402240151.0,1.17244086881e-89
1663754816.0,2.98283458126e-07
1271890500.0,6.03457644092e-26
1343382088.0,1.0
3033178703.0,4.10339952848e-23
292889168.0,5.59117029488e-15
666796625.0,3.17222947462e-192
3016565331.0,2.16517702808e-154
2052186708.0,4.83830608494e-125
1490195897.0,4.88060428852e-242
4169212504.0,4.11597064761e-122
417350235.0,1.11918410749e-302
1728774750.0,2.3449956147e-193
311411296.0,5.13055178685e-05
1287709284.0,0.0
4235797096.0,1.0389372895e-20
675529322.0,6.88051046965e-218
1059373679.0,1.0
4062413426.0,0.340488399773
1409090165.0,0.0
4113760888.0,3.62232966345e-48
369566332.0,1.06356119661e-09
