,HomeScorer_LeaveUnscored,ClustersMLProbScorer_LeaveUnscored,logistic_ensemble_regularization_factor=1e-06,logistic_ensemble_regularization_factor=0.5
recall_prcntg90,1.0,1.0,1.0,1.0
recall_bottom_prcntg90,0.85,0.9,0.9,0.9
recall_prcntg20,0.2,0.35,0.35,0.45
recall_bottom_prcntg60,0.35,0.25,0.3,0.25
recall_bottom_prcntg40,0.05,0.15,0.1,0.15
recall_prcntg60,0.95,0.85,0.95,0.9
recall_prcntg40,0.65,0.75,0.75,0.75
recall_bottom_prcntg20,0.05,0.0,0.05,0.0
recall_prcntg80,0.95,1.0,1.0,1.0
recall_bottom_prcntg1,0.0,0.0,0.0,0.0
recall_bottom_prcntg5,0.0,0.0,0.0,0.0
recall_bottom_prcntg100,1.0,1.0,1.0,1.0
recall_prcntg1,0.0,0.05,0.05,0.05
recall_prcntg100,1.0,1.0,1.0,1.0
recall_prcntg5,0.1,0.05,0.05,0.05
recall_bottom_prcntg80,0.8,0.7,0.75,0.7
recall_prcntg30,0.5,0.6,0.65,0.6
recall_prcntg10,0.2,0.1,0.15,0.1
recall_bottom_prcntg50,0.1,0.25,0.15,0.25
recall_prcntg70,0.95,0.9,0.95,1.0
recall_bottom_prcntg10,0.0,0.0,0.0,0.0
recall_prcntg50,0.9,0.75,0.9,0.8
recall_bottom_prcntg70,0.6,0.4,0.5,0.4
recall_bottom_prcntg30,0.05,0.1,0.05,0.1
