,ExternalScorer_LeaveUnscored_file1_col1
1257163.0,1596.0
3666201.0,724.0
3762856.0,1154.0
4643202.0,2768.0
8264703.0,3030.0
8713623.0,173.0
10216085.0,1668.0
10454613.0,698.0
12830381.0,730.0
13579059.0,2067.0
14444511.0,862.0
14813380.0,966.0
15145794.0,406.0
15666050.0,1252.0
16030619.0,1497.0
18403675.0,1870.0
20688811.0,2104.0
22256316.0,2898.0
24755307.0,3073.0
26276859.0,2153.0
26484175.0,3228.0
27194025.0,2007.0
27472397.0,1947.0
27905466.0,1486.0
28562031.0,1988.0
32088949.0,392.0
32209495.0,2851.0
32228579.0,544.0
32388948.0,1293.0
33848378.0,3054.0
35886541.0,2359.0
37935529.0,2780.0
38529900.0,1244.0
39662473.0,2284.0
40491651.0,3362.0
41839058.0,1247.0
42935543.0,1523.0
46861991.0,1725.0
48025958.0,923.0
50076758.0,3063.0
50381881.0,470.0
50688849.0,2074.0
51712238.0,492.0
52301276.0,1499.0
52305841.0,3434.0
53815282.0,870.0
54159288.0,845.0
54322946.0,1106.0
54866034.0,1772.0
57560196.0,1211.0
57895567.0,1148.0
58196362.0,172.0
60575993.0,1829.0
60975052.0,853.0
61279800.0,2298.0
61673048.0,1553.0
65348353.0,343.0
65797629.0,1428.0
68991036.0,2511.0
71240446.0,218.0
72718694.0,2753.0
73166801.0,1703.0
73499309.0,1727.0
75390012.0,3055.0
76011693.0,2673.0
80662100.0,1551.0
81603853.0,1547.0
83019021.0,563.0
84317600.0,2337.0
87519714.0,1928.0
87624014.0,1017.0
88373450.0,2685.0
91675892.0,3129.0
91739717.0,2410.0
93289481.0,3033.0
95774621.0,1479.0
96198130.0,3238.0
98581287.0,329.0
100041341.0,285.0
102874632.0,2172.0
104812720.0,1798.0
104974358.0,886.0
105321867.0,2329.0
105642960.0,3014.0
108655817.0,2241.0
110278528.0,2548.0
110507344.0,2297.0
115271771.0,914.0
116429755.0,2123.0
117286282.0,617.0
117821048.0,1570.0
118360577.0,1099.0
119572611.0,935.0
121318751.0,1748.0
121407795.0,2509.0
124726856.0,1543.0
125806967.0,1039.0
126837628.0,397.0
127588095.0,2487.0
128166283.0,2737.0
128699208.0,1232.0
131722143.0,1261.0
132953585.0,2042.0
135869424.0,2145.0
136507530.0,1782.0
136563772.0,1323.0
138167699.0,620.0
138197111.0,2648.0
139594293.0,1121.0
146556637.0,749.0
146589912.0,2267.0
146654916.0,738.0
146668200.0,2887.0
146835745.0,2465.0
147615847.0,1765.0
148438730.0,2680.0
150592548.0,3046.0
151276515.0,792.0
153026235.0,3321.0
153805298.0,216.0
154289260.0,490.0
154606057.0,2807.0
154824772.0,1752.0
155749111.0,1194.0
156822966.0,1483.0
