,ClustersMLProbScorer_LeaveUnscored
3800760322.0,143.900380952
353755139.0,31.5222142857
2729656324.0,85.5140952381
2830325078.0,59.1176666667
1318838287.0,3.88
946176016.0,26.0363333333
453500945.0,16.62
3191791619.0,27.108
839647252.0,
2511904795.0,6.82
3333611548.0,25.2019494949
3737272353.0,18.7565714286
185188386.0,13.4122539683
573325347.0,109.223
2124324901.0,12.72
197165095.0,219.978571429
1188814891.0,23.3657619048
982360109.0,28.705952381
1910931504.0,16.8089047619
966934580.0,70.5842619048
1563967552.0,77.6915714286
3562463301.0,
3795304520.0,18.84
421388363.0,21.7606666667
1053548620.0,2.8
596918352.0,23.9302828283
3317047384.0,48.0576666667
2813616217.0,14.04
892067936.0,14.6118095238
1650581602.0,56.8953333333
595230820.0,13.9693333333
271982693.0,13.4006666667
2847694951.0,243.286
1811882090.0,10.78
377551549.0,112.496666667
4113883249.0,8.82
4256784501.0,17.4
2713296789.0,55.1785952381
1919869055.0,80.1611161616
3376365700.0,12.3731904762
456062317.0,17.9232539683
1438113939.0,35.57
3993051292.0,157.649238095
2703515805.0,3.88
1398325407.0,5.88
2587648164.0,47.0396666667
273670311.0,32.1341428571
1003888808.0,3.88
1604305068.0,17.2724047619
686342322.0,27.6761190476
779665589.0,32.6038571429
3893919927.0,12.38
3389104312.0,11.6907142857
1134182585.0,11.52
627261626.0,61.2245952381
1191354555.0,140.434992063
3524886718.0,28.5395238095
1729274049.0,229.775404762
2221392069.0,44.3977056277
2389745864.0,18.1662380952
3485769930.0,19.7532857143
2741403852.0,51.887
2746769613.0,40.512047619
1934541010.0,124.360261905
3035087059.0,29.3726190476
377725140.0,18.4433333333
207126743.0,24.1428571429
2444411098.0,50.4852619048
2321039579.0,108.913
1908408542.0,29.11
4243587295.0,14.74
3824074979.0,91.9
1135370468.0,27.0787857143
3872112877.0,44.1430873016
945307889.0,146.26
3187415764.0,13.916
2530836730.0,2.8
2476228860.0,23.4923095238
326115587.0,57.0229285714
833462533.0,14.3483333333
1727209735.0,40.7596666667
1162879243.0,
2047435022.0,42.9048412698
2641698861.0,
294084880.0,
3877413140.0,35.5116666667
2554929200.0,21.2960952381
2803204391.0,120.506261905
2214011194.0,16.863
894198086.0,92.2142619048
705610059.0,22.5396666667
1743118669.0,9.5
1125007695.0,11.59
3385723619.0,162.086261905
2252398935.0,
3459391835.0,27.8133095238
304669029.0,12.3613333333
390603110.0,25.622952381
3155247463.0,18.3856666667
3379814765.0,21.191
2654183790.0,27.7149047619
4060651888.0,6.12516666667
788922738.0,73.5662857143
2233672054.0,19.469
537633146.0,34.5495238095
2078874347.0,26.6017619048
3638092168.0,2.0
58196362.0,8.652
1150966509.0,3.88
3796042128.0,36.4396666667
3072508306.0,81.8386666667
3878986134.0,2.0
884695447.0,19.3838275613
2726986138.0,8.36323809524
1247887771.0,6.66
1732641187.0,219.807452381
1760543142.0,20.2133333333
2428084650.0,49.568
391848367.0,94.8680606061
2284863940.0,121.058333333
2877448651.0,209.350452381
2648768974.0,132.460833333
3103965649.0,2.0
2899255767.0,80.5676666667
2753938852.0,32.2326666667
1373077981.0,27.8723333333
3291931107.0,37.0745238095
2976760295.0,40.2938174603
3937534441.0,98.5116666667
2566373869.0,14.733
153805298.0,11.18
3259998708.0,92.165
2570693374.0,13.9693333333
2638545403.0,142.668666667
3669713407.0,37.0316666667
3405480451.0,57.2683333333
1470259719.0,22.73
740557322.0,32.066497114
1571799565.0,2.0
3891479981.0,3.0
986341913.0,47.0223333333
705159706.0,29.948047619
1081721374.0,16.6923333333
1863241819.0,22.4759761905
2597126692.0,30.8557619048
221667877.0,41.2516666667
1914327446.0,13.3133333333
223183399.0,187.203333333
3211469352.0,11.78
241197609.0,49.5162619048
1984922154.0,65.3957828283
2576130613.0,18.975
3395469881.0,13.64
3402240151.0,17.388
1663754816.0,
1271890500.0,9.5
1343382088.0,127.522
3033178703.0,7.16
292889168.0,3.0
666796625.0,19.0411428571
3016565331.0,18.7262142857
2052186708.0,58.2183333333
1490195897.0,19.8
4169212504.0,36.147
417350235.0,44.6588253968
1728774750.0,7.60166666667
311411296.0,3.88
1287709284.0,21.7322619048
4235797096.0,2.74
675529322.0,22.795
1059373679.0,283.592571429
4062413426.0,
1409090165.0,18.293
4113760888.0,26.7887380952
369566332.0,120.634595238
2875887722.0,9.72
4098630272.0,21.4409285714
4028572289.0,17.0941111111
1352336002.0,59.5115714286
906519175.0,82.5575952381
304628365.0,62.8215
10216085.0,49.0516190476
1988797078.0,33.8530238095
2873991845.0,211.466833333
437625510.0,1.28
2165359274.0,13.8712619048
73499309.0,125.154
453935793.0,11.96
952656562.0,26.5246608947
4205724340.0,70.0
2069758649.0,33.3433333333
2741191355.0,88.466
3283878590.0,134.444
3142525631.0,11.8695952381
523649730.0,30.9645952381
4123853512.0,1.6
1685709517.0,20.5352619048
1258242766.0,16.6605952381
1070883551.0,16.2025952381
1791967981.0,43.8373333333
3400393458.0,23.5062619048
4201267955.0,16.78
2118558452.0,114.748
1015923445.0,13.9536666667
949631785.0,24.5363333333
3668738810.0,12.08
1073349371.0,14.5879285714
2505499390.0,46.5384285714
4166579669.0,2.54
3559965440.0,22.8033333333
897123075.0,14.8477142857
2681979655.0,12.2702828283
1441981193.0,188.118666667
4106216208.0,25.1532380952
3462333912.0,3.88
638078708.0,58.7093333333
2974147351.0,62.5373333333
2914370328.0,47.1196666667
1892746009.0,20.6426190476
3677799199.0,141.640333333
1169204003.0,120.588952381
1936007973.0,9.7485952381
806708007.0,11.5479285714
1608631094.0,55.9218412698
1696105276.0,12.56
2249868093.0,20.9895952381
2222695232.0,21.4531428571
2573599555.0,29.1773333333
1429955396.0,13.272
2720654149.0,22.4145952381
2580513606.0,34.9906666667
690398023.0,21.766
659227466.0,7.55126190476
2955338574.0,25.3463333333
3011535696.0,53.0395238095
1160487773.0,135.305666667
744663868.0,25.4447619048
2922939247.0,53.5172380952
1433748338.0,
2961039507.0,3.88
3111535476.0,64.0601904762
32088949.0,
1426896361.0,22.8873809524
433057940.0,33.3275238095
3194807165.0,
1019339646.0,156.688
1647534975.0,30.54
858350469.0,25.7466666667
2629267607.0,173.200261905
1027169090.0,1.28
1849353105.0,25.319
286638994.0,50.1592619048
2989687710.0,41.0116666667
1496245153.0,147.491785714
2666668962.0,14.5001904762
1649050534.0,230.38
4086546480.0,21.1027352092
2431878056.0,13.926
1054392476.0,9.98
3983721386.0,23.2129047619
3547186101.0,3.88
1271940024.0,17.1582857143
2976252859.0,53.8075952381
3947971520.0,28.0288989899
3630015435.0,11.76
2771690453.0,2.0
3713369050.0,243.671
672097245.0,168.231238095
1828045801.0,115.54997619
1945779026.0,20.7191904762
2213987327.0,15.2524285714
1292968960.0,32.16
4157858823.0,2.0
519627787.0,32.709
1844839439.0,27.1415952381
4284400659.0,33.7022619048
2236015636.0,
483353625.0,14.6616666667
3308774428.0,149.556373016
1376461855.0,38.2946666667
537584677.0,30.653997114
3008103465.0,17.443
3834668077.0,9.24571428571
446301236.0,62.492
941974584.0,42.6309285714
1939563579.0,6.28
1289569344.0,3.88
4180902980.0,9.66
3227673675.0,28.4003333333
1158259789.0,175.41865873
317244499.0,13.4502857143
454796374.0,78.0055
2202215511.0,109.357619048
2596816399.0,22.7606666667
3106997341.0,30.653997114
733611111.0,70.3773333333
1067025519.0,139.252261905
4294673526.0,9.73247619048
4185400452.0,
1617239679.0,131.786666667
3374695568.0,18.3155952381
1206240403.0,19.7
3201827993.0,10.4
3232900250.0,28.8227561328
1428432027.0,178.538452381
2711708833.0,39.5469285714
920454310.0,246.061333333
571753639.0,18.447
1126746995.0,5.94
1667204277.0,17.7545952381
313550011.0,26.5799047619
646497471.0,12.08
1315759297.0,56.2592619048
2464793805.0,13.2526666667
1308222670.0,7.592
1588069587.0,83.375
3661513945.0,22.064
32228579.0,6.0
3753092331.0,206.46
1938523372.0,72.199
2436539631.0,101.168333333
1541915895.0,93.853452381
3465635069.0,10.7811269841
662078719.0,14.7773333333
1569137927.0,35.3343333333
1092740361.0,155.171666667
1959060749.0,24.178015873
526099734.0,24.9931428571
1805632795.0,21.6552380952
2728165595.0,29.4765
2880521510.0,15.1980952381
2794472743.0,159.545095238
3355780392.0,14.4619285714
363750706.0,19.3443333333
1938466099.0,17.0986666667
2094727390.0,12.1957142857
3575465272.0,57.6288571429
273895788.0,63.0533333333
1469015365.0,9.04
1617683788.0,143.570738095
2958140749.0,39.9093333333
1897915727.0,16.3827142857
1939383633.0,10.1026190476
2697307475.0,13.656
1368417620.0,20.9828333333
1803011641.0,30.0556666667
2568684888.0,9.78266666667
1154467164.0,75.6069761905
3971409246.0,18.148
3764143455.0,21.3408809524
1731183970.0,38.504
3410019693.0,100.770666667
2200094066.0,26.4674761905
1236739443.0,158.44
835233154.0,21.156
1629496711.0,23.1346190476
2325005705.0,87.5443095238
1799652746.0,21.2732857143
3211797899.0,239.375
3082794562.0,16.1619047619
138167699.0,11.54
1489954197.0,12.2766666667
1476494742.0,19.5166666667
1142482327.0,23.026
2037712283.0,9.5
4072318365.0,11.5
3115345311.0,6.29857142857
1460618660.0,145.468928571
1297860013.0,27.1524761905
272904435.0,20.8741587302
635291084.0,15.74
1800046030.0,2.0
558360016.0,53.6041904762
2459084241.0,91.309
3968607702.0,8.02992857143
2083562968.0,21.2985238095
953476577.0,34.6446666667
897680871.0,18.5879047619
1763665395.0,29.4986428571
2126898676.0,10.6233333333
3647849976.0,3.88
4021978617.0,12.4025238095
2058618366.0,93.377
662488577.0,45.605047619
3080914437.0,2.0
3734898185.0,37.9196666667
913548811.0,2.0
4266337807.0,104.686142857
853501460.0,21.7169494949
805750294.0,11.2244761905
3027027480.0,42.6527301587
435725854.0,54.1545238095
2100676127.0,9.38
3802498599.0,38.2103333333
3007915564.0,3.88
1234429485.0,30.0166666667
535884040.0,169.535087302
2161788471.0,23.0805555556
2511439416.0,33.5696132756
1698022969.0,14.9949761905
4086146619.0,40.6349047619
842294845.0,39.076
4168803909.0,6.28
1994379532.0,101.116666667
3302123087.0,114.238547619
10454613.0,54.8431904762
3393062486.0,15.3941666667
3799115353.0,29.1477142857
3531949659.0,
2840495709.0,55.4169285714
1122002527.0,16.288547619
2800633460.0,210.022595238
396691063.0,23.7112619048
1615472252.0,1.28
2444273279.0,20.1206190476
1872873092.0,36.3505
3535808133.0,3.88
2440177287.0,18.4506666667
432072329.0,5.88
449480333.0,3.88
2484930196.0,19.8355238095
3666201.0,24.9325952381
