,HomeScorer_LeaveUnscored
3800760322.0,244.674776407
353755139.0,108.843609808
2729656324.0,181.211546022
2830325078.0,101.889563803
1318838287.0,7.39413079302
946176016.0,124.836417533
453500945.0,59.4267833665
3191791619.0,41.2539935344
839647252.0,21.2619620615
2511904795.0,28.6796511938
3333611548.0,108.188285313
3737272353.0,119.727502617
185188386.0,23.8500791139
573325347.0,243.309326732
2124324901.0,32.5329563311
197165095.0,277.377717582
1188814891.0,103.071522557
982360109.0,39.7074660527
1910931504.0,70.2060726596
966934580.0,163.437711675
1563967552.0,180.824671819
3562463301.0,7.77690475533
3795304520.0,55.0493008652
421388363.0,99.3795527845
1053548620.0,16.9401632644
596918352.0,120.497149377
3317047384.0,228.593858313
2813616217.0,29.5193404829
892067936.0,31.1220157923
1650581602.0,117.603728449
595230820.0,19.1075990922
271982693.0,56.539710407
2847694951.0,244.587210778
1811882090.0,54.10168181
377551549.0,250.000703081
4113883249.0,27.7262283232
4256784501.0,38.8584714729
2713296789.0,163.799334628
1919869055.0,200.303703737
3376365700.0,23.0780309264
456062317.0,91.0894647623
1438113939.0,142.718649371
3993051292.0,272.079262242
2703515805.0,31.2402055037
1398325407.0,28.1624647005
2587648164.0,190.751401589
273670311.0,159.140589038
1003888808.0,13.25478896
1604305068.0,94.9673896201
686342322.0,109.054142219
779665589.0,74.6458967842
3893919927.0,23.8288712435
3389104312.0,49.8988428276
1134182585.0,69.75699312
627261626.0,123.416263761
1191354555.0,184.358108229
3524886718.0,171.468486359
1729274049.0,271.213137267
2221392069.0,153.110645452
2389745864.0,147.992965389
3485769930.0,47.2755171889
2741403852.0,91.3140874667
2746769613.0,198.742258885
1934541010.0,238.120128534
3035087059.0,76.8112492455
377725140.0,61.2911334326
207126743.0,79.4680441353
2444411098.0,154.516073398
2321039579.0,235.090518653
1908408542.0,62.9166881287
4243587295.0,30.9765998223
3824074979.0,190.559096961
1135370468.0,86.4305838457
3872112877.0,159.843191459
945307889.0,220.75236559
3187415764.0,45.0068519886
2530836730.0,23.0285306015
2476228860.0,188.666152131
326115587.0,164.265889884
833462533.0,12.9374912204
1727209735.0,124.417614883
1162879243.0,7.78162783376
