,HomeScorer_LeaveUnscored,ClustersMLProbScorer_LeaveUnscored,logistic_ensemble_regularization_factor=1e-06,logistic_ensemble_regularization_factor=0.5
hr_count5000,0.004,0.004,0.004,0.004
hr_bottom_count10,0.0,0.0,0.0,0.0
hr_count250,0.016,0.016,0.012,0.016
hr_prcntg90,0.010582010582,0.010582010582,0.010582010582,0.010582010582
hr_bottom_count50,0.0,0.0,0.0,0.0
hr_count50,0.04,0.02,0.02,0.02
hr_bottom_prcntg90,0.00899470899471,0.00952380952381,0.00952380952381,0.00952380952381
hr_prcntg1,0.0,0.047619047619,0.047619047619,0.047619047619
hr_count10,0.0,0.0,0.0,0.0
hr_prcntg5,0.0190476190476,0.00952380952381,0.00952380952381,0.00952380952381
hr_bottom_prcntg70,0.00816326530612,0.00544217687075,0.00680272108844,0.00544217687075
hr_bottom_count250,0.0,0.0,0.0,0.0
hr_bottom_prcntg50,0.00190476190476,0.0047619047619,0.00285714285714,0.0047619047619
hr_bottom_prcntg40,0.00119047619048,0.00357142857143,0.00238095238095,0.00357142857143
hr_bottom_prcntg20,0.00238095238095,0.0,0.00238095238095,0.0
hr_prcntg60,0.0150793650794,0.0134920634921,0.0150793650794,0.0142857142857
hr_prcntg20,0.00952380952381,0.0166666666667,0.0166666666667,0.0214285714286
hr_prcntg40,0.0154761904762,0.0178571428571,0.0178571428571,0.0178571428571
hr_count100,0.02,0.01,0.01,0.01
hr_bottom_count1000,0.002,0.004,0.003,0.004
hr_bottom_count500,0.002,0.0,0.002,0.0
hr_bottom_count20,0.0,0.0,0.0,0.0
hr_prcntg80,0.0113095238095,0.0119047619048,0.0119047619048,0.0119047619048
hr_count1000,0.017,0.015,0.017,0.015
hr_bottom_prcntg100,0.00952380952381,0.00952380952381,0.00952380952381,0.00952380952381
hr_count2500,0.008,0.008,0.008,0.008
hr_prcntg100,0.00952380952381,0.00952380952381,0.00952380952381,0.00952380952381
hr_bottom_prcntg80,0.00952380952381,0.00833333333333,0.00892857142857,0.00833333333333
hr_bottom_prcntg60,0.00555555555556,0.00396825396825,0.0047619047619,0.00396825396825
hr_count20,0.0,0.05,0.05,0.05
hr_bottom_count100,0.0,0.0,0.0,0.0
hr_prcntg70,0.012925170068,0.0122448979592,0.012925170068,0.0136054421769
hr_bottom_count5000,0.004,0.004,0.004,0.004
hr_bottom_prcntg30,0.0015873015873,0.0031746031746,0.0015873015873,0.0031746031746
hr_bottom_prcntg10,0.0,0.0,0.0,0.0
hr_prcntg50,0.0171428571429,0.0142857142857,0.0171428571429,0.0152380952381
hr_prcntg10,0.0190476190476,0.00952380952381,0.0142857142857,0.00952380952381
hr_count500,0.016,0.018,0.016,0.022
hr_prcntg30,0.015873015873,0.0190476190476,0.0206349206349,0.0190476190476
hr_bottom_count2500,0.008,0.008,0.008,0.008
hr_bottom_prcntg5,0.0,0.0,0.0,0.0
hr_bottom_prcntg1,0.0,0.0,0.0,0.0
