,ExternalScorer_LeaveUnscored_file1_col1
3800760322.0,1.0
353755139.0,11.0
2729656324.0,3.0
2830325078.0,2300.0
1318838287.0,8.0
946176016.0,9.0
453500945.0,10.0
3191791619.0,2.0
839647252.0,12.0
2511904795.0,14.0
3333611548.0,15.0
3737272353.0,17.0
185188386.0,18.0
573325347.0,19.0
2124324901.0,20.0
197165095.0,21.0
1188814891.0,22.0
982360109.0,23.0
1910931504.0,2779.0
966934580.0,26.0
1563967552.0,30.0
3562463301.0,32.0
3795304520.0,34.0
421388363.0,35.0
1053548620.0,36.0
596918352.0,37.0
3317047384.0,38.0
2813616217.0,39.0
892067936.0,42.0
1650581602.0,43.0
595230820.0,44.0
271982693.0,271.0
2847694951.0,46.0
1811882090.0,47.0
377551549.0,1968.0
4113883249.0,49.0
4256784501.0,50.0
2713296789.0,3420.0
1919869055.0,53.0
3376365700.0,356.0
456062317.0,2315.0
1438113939.0,390.0
3993051292.0,59.0
2703515805.0,60.0
1398325407.0,61.0
2587648164.0,64.0
273670311.0,65.0
1003888808.0,66.0
1604305068.0,67.0
686342322.0,72.0
779665589.0,73.0
3893919927.0,2766.0
3389104312.0,75.0
1134182585.0,76.0
627261626.0,77.0
1191354555.0,78.0
3524886718.0,79.0
1729274049.0,81.0
2221392069.0,83.0
2389745864.0,84.0
3485769930.0,85.0
2741403852.0,86.0
2746769613.0,87.0
1934541010.0,89.0
3035087059.0,90.0
377725140.0,555.0
207126743.0,92.0
2444411098.0,93.0
2321039579.0,94.0
1908408542.0,579.0
4243587295.0,96.0
3824074979.0,98.0
1135370468.0,99.0
3872112877.0,103.0
945307889.0,104.0
3187415764.0,106.0
2530836730.0,652.0
2476228860.0,108.0
326115587.0,112.0
833462533.0,113.0
1727209735.0,114.0
1162879243.0,116.0
2047435022.0,119.0
2641698861.0,1546.0
294084880.0,121.0
3877413140.0,123.0
2554929200.0,1583.0
2803204391.0,130.0
2214011194.0,135.0
894198086.0,140.0
705610059.0,142.0
1743118669.0,855.0
1125007695.0,144.0
3385723619.0,1184.0
2252398935.0,148.0
3459391835.0,150.0
304669029.0,152.0
390603110.0,153.0
3155247463.0,154.0
3379814765.0,157.0
2654183790.0,158.0
4060651888.0,160.0
788922738.0,162.0
2233672054.0,163.0
537633146.0,164.0
2078874347.0,168.0
3638092168.0,171.0
58196362.0,172.0
1150966509.0,175.0
3796042128.0,176.0
3072508306.0,575.0
3878986134.0,2221.0
884695447.0,1048.0
2726986138.0,182.0
1247887771.0,183.0
1732641187.0,185.0
1760543142.0,186.0
2428084650.0,189.0
